Name,Url,Authority,Started On,Finished On,License Number
Chainalysis Cryptocurrency Fundamentals Certification (CCFC),https://verify.skilljar.com/c/f28iva2xkdfw,Chainalysis Inc.,May 2022,,f28iva2xkdfw
Salesforce Essential Training,https://www.linkedin.com/learning/salesforce-essential-training,LinkedIn,Dec 2022,,Ae8BOdtPOklVadsB2AkfpSOo3e4f
